UNITID,efrace15,efrace16,W/M_Ratio,INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,geometry
236230,9,1,0.1111111111111111,Pacific Lutheran University,Tacoma,WA,98447-0003,47.14516,-122.440421,POINT (-122.440421 47.14516)
236577,29,4,0.13793103448275862,Seattle Pacific University,Seattle,WA,98119-1997,47.650214,-122.361667,POINT (-122.361667 47.650214)
236595,142,42,0.29577464788732394,Seattle University,Seattle,WA,98122-4340,47.608859,-122.318851,POINT (-122.318851 47.608859)
236939,380,72,0.18947368421052632,Washington State University,Pullman,WA,99164-5910,46.730448,-117.158168,POINT (-117.158168 46.730448)
236948,1018,277,0.27210216110019647,University of Washington-Seattle Campus,Seattle,WA,98195-4550,47.65538,-122.30514,POINT (-122.30514 47.65538)
237011,36,3,0.08333333333333333,Western Washington University,Bellingham,WA,98225-9008,48.737812,-122.485734,POINT (-122.485734 48.737812)
237525,32,2,0.0625,Marshall University,Huntington,WV,25755,38.422482,-82.428964,POINT (-82.42896399999999 38.422482)
237950,375,45,0.12,West Virginia University Institute of Technology,Beckley,WV,25801,37.775924,-81.184072,POINT (-81.184072 37.775924)
237969,22,4,0.18181818181818182,West Virginia Wesleyan College,Buckhannon,WV,26201-2994,38.990661,-80.218969,POINT (-80.218969 38.990661)
238032,1394,211,0.15136298421807748,West Virginia University,Morgantown,WV,26506,39.634371,-79.954391,POINT (-79.954391 39.634371)
238333,3,0,0.0,Beloit College,Beloit,WI,53511-5595,42.504022,-89.029285,POINT (-89.029285 42.504022)
239318,1114,206,0.18491921005385997,Milwaukee School of Engineering,Milwaukee,WI,53202-3109,43.045364,-87.907691,POINT (-87.907691 43.045364)
240417,157,16,0.10191082802547771,University of Wisconsin-Stout,Menomonie,WI,54751,44.873187,-91.926653,POINT (-91.926653 44.873187)
240444,1469,364,0.24778761061946902,University of Wisconsin-Madison,Madison,WI,53706-1380,43.075409,-89.404098,POINT (-89.404098 43.075409)
240453,312,61,0.1955128205128205,University of Wisconsin-Milwaukee,Milwaukee,WI,53211,43.076848,-87.880488,POINT (-87.880488 43.076848)
240462,659,126,0.19119878603945373,University of Wisconsin-Platteville,Platteville,WI,53818-3099,42.733451,-90.48622,POINT (-90.48622 42.733451)
240727,701,171,0.24393723252496433,University of Wyoming,Laramie,WY,82071,41.311773,-105.57931,POINT (-105.57931 41.311773)
242705,396,106,0.2676767676767677,Inter American University of Puerto Rico-Bayamon,Bayamon,PR,00957-6257,18.351631,-66.182473,POINT (-66.182473 18.351631)
243197,2578,1503,0.5830100853374709,University of Puerto Rico-Mayaguez,Mayaguez,PR,681,18.211142,-67.139172,POINT (-67.139172 18.211142)
243577,1078,287,0.2662337662337662,Universidad Politecnica de Puerto Rico,Hato Rey,PR,919,18.422195,-66.056084,POINT (-66.056084 18.422195)
243601,186,45,0.24193548387096775,Universidad Ana G. Mendez-Gurabo Campus,Gurabo,PR,00778-3030,18.239647,-66.006259,POINT (-66.006259 18.239647)
243744,244,108,0.4426229508196721,Stanford University,Stanford,CA,94305,37.429434,-122.167359,POINT (-122.167359 37.429434)
243780,4827,1097,0.22726331054485188,Purdue University-Main Campus,West Lafayette,IN,47907-2040,40.428206,-86.914435,POINT (-86.914435 40.428206)
412599,73,18,0.2465753424657534,Remington College-Memphis Campus,Memphis,TN,38132,35.071403,-89.989881,POINT (-89.989881 35.071403)
436818,33,5,0.15151515151515152,University of Connecticut-Waterbury Campus,Waterbury,CT,6702,41.555617,-73.039242,POINT (-73.039242 41.555617)
436827,7,2,0.2857142857142857,University of Connecticut-Avery Point,Groton,CT,06340-6097,41.316419,-72.065336,POINT (-72.065336 41.316419)
436836,12,2,0.16666666666666666,University of Connecticut-Stamford,Stamford,CT,06901-2315,41.056081,-73.542206,POINT (-73.54220599999999 41.056081)
